Date,Release_Year,User_Review,Name,Price_Sold,Place_Sold
19/2/2025,2014,3/5 Graphics are decent,Red Dead Redemption (made by Rockstar Games),22.98,USA
22/2/2025,2023,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),12.10,USA
12/2/2025,2020,"3/5 Solid mechanics, weak plot.",Apex Legends (made by Respawn Entertainment),64.35,Japan
26/2/2025,2019,"2/5 Solid mechanics, weak plot.",Halo Infinite (made by 343 Industries),24.5,United Kingdom
21/2/2025,2013,3/5 Graphics are decent,Halo Infinite (made by 343 Industries),56.34,United Kingdom
6/2/2025,2016,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),20.09,USA
4/2/2025,2024,5/5 Masterpiece!,Doom Eternal (made by id Software),27.10,Japan
9/2/2025,2017,"5/5 Amazing game, but a bit short.",Apex Legends (made by Respawn Entertainment),49.31,United Kingdom
24/2/2025,2013,Too many bugs at launch.,God of War (made by Santa Monica Studio),45.5,Europe
18/2/2025,2011,5/5 It's the game of the year!,GTA V (made by Rockstar Games),46.49,Japan
3/2/2025,2010,5/5 It's the game of the year!,Doom Eternal (made by id Software),65.48,USA
25/2/2025,2021,"2/5 Solid mechanics, weak plot.",Horizon Zero Dawn (made by Guerrilla Games),47.35,Europe
13/2/2025,2019,Multiplayer could be better.,Elden Ring (made by FromSoftware),49.09,USA
8/2/2025,2010,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),41.56,USA
25/2/2025,2021,4/5 The story was incredible!,Halo Infinite (made by 343 Industries),57.38,United Kingdom
10/2/2025,2021,3/5 Graphics are decent,Valorant (made by Riot Games),43.18,Japan
2/2/2025,2016,3/5 Best game of the year!,Cyberpunk (made by CD Projekt Red),68.76,USA
25/2/2025,2025,5/5 Masterpiece!,Sekiro Shadows Die Twice (made by FromSoftware),24.30,USA
2/2/2025,2025,5/5 It's the game of the year!,Doom Eternal (made by id Software),28.84,Japan
10/2/2025,2025,Too many bugs at launch.,Doom Eternal (made by id Software),45.60,United Kingdom
8/2/2025,2014,5/5 It's the game of the year!,Valorant (made by Riot Games),60.64,USA
6/2/2025,2021,2/5 A masterpiece!,Red Dead Redemption (made by Rockstar Games),27.55,Japan
21/2/2025,2012,5/5 Masterpiece!,Fortnite (made by Epic Games),25.02,USA
9/2/2025,2024,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),19.60,USA
4/2/2025,2021,Multiplayer could be better.,Doom Eternal (made by id Software),69.06,Japan
21/2/2025,2012,3/5 A masterpiece!,Overwatch (made by Blizzard Entertainment),63.03,Europe
1/2/2025,2012,2/5 Best game of the year!,Red Dead Redemption (made by Rockstar Games),32.64,Japan
4/2/2025,2011,"4/5 Solid mechanics, weak plot.",Dark Souls (made by FromSoftware),45.85,United Kingdom
4/2/2025,2022,"1/5 Solid mechanics, weak plot.",Overwatch (made by Blizzard Entertainment),26.32,Japan
24/2/2025,2017,1/5 The story was incredible!,Halo Infinite (made by 343 Industries),55.35,United Kingdom
5/2/2025,2017,2/5 Graphics are next-level!,Minecraft (made by Mojang Studios),38.53,USA
13/2/2025,2024,5/5 It's the game of the year!,God of War (made by Santa Monica Studio),31.19,Japan
8/2/2025,2021,"3/5 Amazing game, but a bit short.",Horizon Zero Dawn (made by Guerrilla Games),35.14,Europe
10/2/2025,2023,3/5 Graphics are decent,Fortnite (made by Epic Games),68.92,Europe
25/2/2025,2023,4/5 Graphics are next-level!,Zelda Breath of the Wild (made by Nintendo),13.30,USA
7/2/2025,2019,3/5 Graphics are decent,God of War (made by Santa Monica Studio),25.96,Europe
4/2/2025,2023,3/5 A masterpiece!,God of War (made by Santa Monica Studio),64.04,USA
21/2/2025,2023,"3/5 Amazing game, but a bit short.",Red Dead Redemption (made by Rockstar Games),63.07,Europe
17/2/2025,2024,5/5 Multiplayer could be better.,Dark Souls (made by FromSoftware),21.53,Europe
28/2/2025,2010,Multiplayer could be better.,Minecraft (made by Mojang Studios),14.52,USA
28/2/2025,2022,3/5 Multiplayer could be better.,Elden Ring (made by FromSoftware),10.33,Europe
8/2/2025,2018,2/5 A masterpiece!,Cyberpunk (made by CD Projekt Red),48.46,United Kingdom
27/2/2025,2021,3/5 Graphics are decent,Dark Souls (made by FromSoftware),39.68,Europe
16/2/2025,2010,"4/5 Amazing game, but a bit short.",Minecraft (made by Mojang Studios),34.28,Japan
24/2/2025,2017,Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),48.42,Japan
8/2/2025,2011,3/5 Graphics are decent,Horizon Zero Dawn (made by Guerrilla Games),32.59,Japan
20/2/2025,2016,5/5 Best game of the year!,Valorant (made by Riot Games),43.50,Japan
10/2/2025,2025,5/5 It's the game of the year!,Zelda Breath of the Wild (made by Nintendo),69.62,Europe
24/2/2025,2018,"3/5 Amazing game, but a bit short.",Cyberpunk (made by CD Projekt Red),12.56,Europe
7/2/2025,2024,"2/5 Solid mechanics, weak plot.",Resident Evil (made by Capcom),69.23,Europe
5/2/2025,2010,"3/5 Amazing game, but a bit short.",God of War (made by Santa Monica Studio),19.18,Europe
12/2/2025,2025,3/5 Best game of the year!,League of Legends (made by Riot Games),62.06,Europe
15/2/2025,2013,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),62.45,USA
13/2/2025,2023,1/5 The story was incredible!,Dark Souls (made by FromSoftware),24.98,United Kingdom
18/2/2025,2012,5/5 It's the game of the year!,League of Legends (made by Riot Games),63.57,United Kingdom
2/2/2025,2022,3/5 A masterpiece!,Valorant (made by Riot Games),19.07,Japan
26/2/2025,2022,"2/5 Solid mechanics, weak plot.",Apex Legends (made by Respawn Entertainment),38.78,Japan
22/2/2025,2011,5/5 Masterpiece!,Super Mario Odyssey (made by Nintendo),63.18,United Kingdom
17/2/2025,2012,Too many bugs at launch.,Minecraft (made by Mojang Studios),44.10,Europe
24/2/2025,2019,4/5 The story was incredible!,Horizon Zero Dawn (made by Guerrilla Games),48.96,United Kingdom
26/2/2025,2013,4/5 A masterpiece!,Valorant (made by Riot Games),20.53,Japan
28/2/2025,2023,4/5 The story was incredible!,Valorant (made by Riot Games),39.03,Europe
24/2/2025,2013,"3/5 Overhyped, but still fun.",Cyberpunk (made by CD Projekt Red),37.63,United Kingdom
20/2/2025,2019,"3/5 Overhyped, but still fun.",God of War (made by Santa Monica Studio),48.82,United Kingdom
24/2/2025,2025,5/5 Masterpiece!,Apex Legends (made by Respawn Entertainment),52.67,United Kingdom
20/2/2025,2018,4/5 Best game of the year!,Dark Souls (made by FromSoftware),61.96,United Kingdom
7/2/2025,2023,5/5 Masterpiece!,GTA V (made by Rockstar Games),63.57,United Kingdom
3/2/2025,2020,3/5 Too many bugs at launch.,Dark Souls (made by FromSoftware),43.28,Europe
13/2/2025,2021,3/5 Graphics are next-level!,Halo Infinite (made by 343 Industries),49.90,USA
15/2/2025,2016,"3/5 Overhyped, but still fun.",Super Mario Odyssey (made by Nintendo),35.61,USA
3/2/2025,2025,3/5 Graphics are decent,God of War (made by Santa Monica Studio),30.76,Europe
4/2/2025,2020,5/5 Masterpiece!,Elden Ring (made by FromSoftware),60.25,United Kingdom
6/2/2025,2024,"2/5 Solid mechanics, weak plot.",Super Mario Odyssey (made by Nintendo),39.43,Europe
10/2/2025,2025,4/5 The story was incredible!,Overwatch (made by Blizzard Entertainment),36.09,Europe
23/2/2025,2011,Multiplayer could be better.,Zelda Breath of the Wild (made by Nintendo),22.35,USA
26/2/2025,2016,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),54.71,United Kingdom
5/2/2025,2012,"2/5 Solid mechanics, weak plot.",Super Mario Odyssey (made by Nintendo),34.59,United Kingdom
14/2/2025,2011,2/5 The story was incredible!,Cyberpunk (made by CD Projekt Red),44.70,USA
14/2/2025,2020,"2/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),40.07,USA
27/2/2025,2016,4/5 The story was incredible!,Elden Ring (made by FromSoftware),19.35,United Kingdom
14/2/2025,2014,"2/5 Overhyped, but still fun.",Super Mario Odyssey (made by Nintendo),52.64,United Kingdom
19/2/2025,2025,5/5 It's the game of the year!,Valorant (made by Riot Games),39.89,Japan
3/2/2025,2025,Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),61.32,United Kingdom
14/2/2025,2017,"3/5 Overhyped, but still fun.",Resident Evil (made by Capcom),62.61,United Kingdom
7/2/2025,2016,Multiplayer could be better.,God of War (made by Santa Monica Studio),68.64,Japan
13/2/2025,2013,1/5 Best game of the year!,Horizon Zero Dawn (made by Guerrilla Games),24.71,United Kingdom
20/2/2025,2011,1/5 Multiplayer could be better.,Valorant (made by Riot Games),63.53,Europe
1/2/2025,2015,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),34.18,Japan
26/2/2025,2022,Too many bugs at launch.,GTA V (made by Rockstar Games),68.26,United Kingdom
14/2/2025,2024,5/5 It's the game of the year!,Cyberpunk (made by CD Projekt Red),64.60,USA
28/2/2025,2013,Multiplayer could be better.,Dark Souls (made by FromSoftware),32.90,USA
11/2/2025,2018,"1/5 Overhyped, but still fun.",Dark Souls (made by FromSoftware),20.30,Japan
28/2/2025,2025,1/5 Too many bugs at launch.,Elden Ring (made by FromSoftware),20.73,United Kingdom
14/2/2025,2021,"2/5 Solid mechanics, weak plot.",Fortnite (made by Epic Games),44,Japan
24/2/2025,2020,2/5 Graphics are next-level!,League of Legends (made by Riot Games),22.09,USA
12/2/2025,2022,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),10.73,Japan
17/2/2025,2021,5/5 Masterpiece!,Super Mario Odyssey (made by Nintendo),55.90,United Kingdom
4/2/2025,2024,4/5 Multiplayer could be better.,Resident Evil (made by Capcom),36.64,United Kingdom
8/2/2025,2013,"3/5 Overhyped, but still fun.",Resident Evil (made by Capcom),20.57,USA
23/2/2025,2024,"3/5 Overhyped, but still fun.",Doom Eternal (made by id Software),34.82,Europe
19/2/2025,2021,Multiplayer could be better.,GTA V (made by Rockstar Games),63.49,United Kingdom
2/2/2025,2020,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),66.81,United Kingdom
18/2/2025,2019,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),28.35,Japan
1/2/2025,2010,"3/5 Amazing game, but a bit short.",God of War (made by Santa Monica Studio),15.01,USA
23/2/2025,2017,Multiplayer could be better.,League of Legends (made by Riot Games),20.30,USA
20/2/2025,2022,Too many bugs at launch.,Sekiro Shadows Die Twice (made by FromSoftware),58.60,USA
9/2/2025,2014,3/5 A masterpiece!,Fortnite (made by Epic Games),47.85,United Kingdom
17/2/2025,2018,5/5 Masterpiece!,Cyberpunk (made by CD Projekt Red),35.52,Europe
21/2/2025,2025,3/5 Graphics are decent,Elden Ring (made by FromSoftware),57.07,United Kingdom
23/2/2025,2019,5/5 Masterpiece!,GTA V (made by Rockstar Games),33.93,Europe
25/2/2025,2012,"2/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),29.35,Europe
24/2/2025,2018,5/5 It's the game of the year!,Apex Legends (made by Respawn Entertainment),29.12,Japan
3/2/2025,2023,3/5 Graphics are decent,Elden Ring (made by FromSoftware),41.38,Europe
15/2/2025,2019,4/5 Graphics are next-level!,Zelda Breath of the Wild (made by Nintendo),30.03,Europe
22/2/2025,2011,5/5 Masterpiece!,Sekiro Shadows Die Twice (made by FromSoftware),51.64,USA
17/2/2025,2012,"3/5 Amazing game, but a bit short.",Zelda Breath of the Wild (made by Nintendo),34.42,Japan
15/2/2025,2018,"1/5 Solid mechanics, weak plot.",Minecraft (made by Mojang Studios),14.33,United Kingdom
12/2/2025,2016,5/5 Masterpiece!,Cyberpunk (made by CD Projekt Red),52.82,Japan
2/2/2025,2021,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),38.90,USA
9/2/2025,2017,Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),46.96,Japan
19/2/2025,2022,3/5 Graphics are next-level!,Dark Souls (made by FromSoftware),62.71,United Kingdom
8/2/2025,2012,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),14.57,United Kingdom
2/2/2025,2023,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),47.82,Japan
4/2/2025,2022,Multiplayer could be better.,Sekiro Shadows Die Twice (made by FromSoftware),42.39,USA
15/2/2025,2016,Too many bugs at launch.,Zelda Breath of the Wild (made by Nintendo),62.71,Europe
14/2/2025,2021,"2/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),33.28,Japan
28/2/2025,2021,5/5 It's the game of the year!,Zelda Breath of the Wild (made by Nintendo),11.80,Japan
8/2/2025,2010,3/5 Graphics are decent,GTA V (made by Rockstar Games),42.25,USA
2/2/2025,2012,4/5 Graphics are next-level!,Cyberpunk (made by CD Projekt Red),33.59,USA
11/2/2025,2021,5/5 It's the game of the year!,Dark Souls (made by FromSoftware),26.73,Europe
22/2/2025,2013,5/5 It's the game of the year!,Resident Evil (made by Capcom),38.29,Europe
21/2/2025,2024,4/5 The story was incredible!,Fortnite (made by Epic Games),11.08,USA
9/2/2025,2022,5/5 It's the game of the year!,Red Dead Redemption (made by Rockstar Games),31.44,Japan
8/2/2025,2023,5/5 Masterpiece!,Minecraft (made by Mojang Studios),19.37,USA
7/2/2025,2019,"3/5 Amazing game, but a bit short.",Apex Legends (made by Respawn Entertainment),29.03,Europe
15/2/2025,2019,3/5 Graphics are decent,God of War (made by Santa Monica Studio),22.10,United Kingdom
3/2/2025,2010,5/5 Masterpiece!,Red Dead Redemption (made by Rockstar Games),63.10,United Kingdom
17/2/2025,2020,2/5 Multiplayer could be better.,Red Dead Redemption (made by Rockstar Games),62.02,USA
2/2/2025,2018,3/5 Graphics are decent,GTA V (made by Rockstar Games),65.46,USA
14/2/2025,2024,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),48.29,Europe
12/2/2025,2021,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),30.71,United Kingdom
18/2/2025,2019,5/5 It's the game of the year!,Cyberpunk (made by CD Projekt Red),33.67,United Kingdom
17/2/2025,2011,5/5 Masterpiece!,Super Mario Odyssey (made by Nintendo),60.14,United Kingdom
25/2/2025,2024,"3/5 Overhyped, but still fun.",Fortnite (made by Epic Games),28.46,Japan
6/2/2025,2021,"2/5 Solid mechanics, weak plot.",GTA V (made by Rockstar Games),12.41,Europe
5/2/2025,2018,"3/5 Overhyped, but still fun.",Dark Souls (made by FromSoftware),13.28,Japan
27/2/2025,2025,"2/5 Solid mechanics, weak plot.",Apex Legends (made by Respawn Entertainment),32.93,United Kingdom
8/2/2025,2017,Multiplayer could be better.,Fortnite (made by Epic Games),60.78,USA
16/2/2025,2010,"2/5 Solid mechanics, weak plot.",Cyberpunk (made by CD Projekt Red),14.14,Europe
15/2/2025,2023,5/5 It's the game of the year!,Horizon Zero Dawn (made by Guerrilla Games),45.52,United Kingdom
10/2/2025,2020,"3/5 Overhyped, but still fun.",Minecraft (made by Mojang Studios),38.96,Japan
4/2/2025,2022,4/5 Multiplayer could be better.,Sekiro Shadows Die Twice (made by FromSoftware),64.59,Europe
9/2/2025,2021,3/5 Graphics are decent,Doom Eternal (made by id Software),51.15,Europe
28/2/2025,2012,"3/5 Amazing game, but a bit short.",God of War (made by Santa Monica Studio),11.69,Japan
4/2/2025,2014,"2/5 Solid mechanics, weak plot.",Red Dead Redemption (made by Rockstar Games),65.12,USA
12/2/2025,2015,"3/5 Overhyped, but still fun.",Red Dead Redemption (made by Rockstar Games),23.48,Japan
6/2/2025,2020,5/5 A masterpiece!,Red Dead Redemption (made by Rockstar Games),47.68,United Kingdom
4/2/2025,2010,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),59.68,United Kingdom
22/2/2025,2021,Too many bugs at launch.,Resident Evil (made by Capcom),12.38,Europe
19/2/2025,2019,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),45.75,Japan
10/2/2025,2021,Multiplayer could be better.,Super Mario Odyssey (made by Nintendo),61.27,United Kingdom
16/2/2025,2023,5/5 Masterpiece!,Resident Evil (made by Capcom),31.76,United Kingdom
22/2/2025,2018,5/5 It's the game of the year!,GTA V (made by Rockstar Games),24.12,USA
27/2/2025,2023,"2/5 Solid mechanics, weak plot.",Doom Eternal (made by id Software),12.97,USA
14/2/2025,2023,4/5 The story was incredible!,Overwatch (made by Blizzard Entertainment),25.71,USA
14/2/2025,2012,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),56.86,Japan
19/2/2025,2023,"4/5 Solid mechanics, weak plot.",Dark Souls (made by FromSoftware),20.30,Europe
6/2/2025,2011,Too many bugs at launch.,Halo Infinite (made by 343 Industries),68.75,United Kingdom
7/2/2025,2014,4/5 The story was incredible!,Red Dead Redemption (made by Rockstar Games),36.00,USA
6/2/2025,2021,2/5 Graphics are next-level!,Dark Souls (made by FromSoftware),41.20,Europe
17/2/2025,2020,5/5 It's the game of the year!,Resident Evil (made by Capcom),10.98,Japan
8/2/2025,2019,"1/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),64.68,USA
6/2/2025,2017,Too many bugs at launch.,League of Legends (made by Riot Games),69.03,Japan
6/2/2025,2013,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),33.88,USA
26/2/2025,2023,"3/5 Amazing game, but a bit short.",God of War (made by Santa Monica Studio),67.39,Europe
3/2/2025,2021,"2/5 Overhyped, but still fun.",Resident Evil (made by Capcom),67.81,United Kingdom
17/2/2025,2017,"3/5 Overhyped, but still fun.",Super Mario Odyssey (made by Nintendo),47.03,United Kingdom
27/2/2025,2021,3/5 Graphics are decent,Apex Legends (made by Respawn Entertainment),39.89,USA
22/2/2025,2015,Too many bugs at launch.,God of War (made by Santa Monica Studio),15.9,Europe
23/2/2025,2020,4/5 Best game of the year!,Horizon Zero Dawn (made by Guerrilla Games),12.26,Europe
28/2/2025,2014,3/5 Graphics are decent,Fortnite (made by Epic Games),35.65,Japan
22/2/2025,2022,3/5 Graphics are decent,Zelda Breath of the Wild (made by Nintendo),50.78,United Kingdom
3/2/2025,2015,Multiplayer could be better.,Super Mario Odyssey (made by Nintendo),53.89,USA
23/2/2025,2010,"5/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),49.56,USA
7/2/2025,2010,3/5 Best game of the year!,Fortnite (made by Epic Games),23.64,USA
19/2/2025,2022,Multiplayer could be better.,Horizon Zero Dawn (made by Guerrilla Games),64.29,Japan
5/2/2025,2017,"2/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),60,Japan
13/2/2025,2025,"5/5 Overhyped, but still fun.",God of War (made by Santa Monica Studio),36.90,USA
4/2/2025,2015,2/5 Multiplayer could be better.,Zelda Breath of the Wild (made by Nintendo),49.59,Europe
7/2/2025,2011,2/5 A masterpiece!,Minecraft (made by Mojang Studios),41.61,United Kingdom
13/2/2025,2022,5/5 Graphics are next-level!,Sekiro Shadows Die Twice (made by FromSoftware),45.38,Japan
15/2/2025,2014,"3/5 Overhyped, but still fun.",Valorant (made by Riot Games),52.42,Japan
15/2/2025,2020,"3/5 Amazing game, but a bit short.",Cyberpunk (made by CD Projekt Red),47,United Kingdom
5/2/2025,2019,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),39.32,Japan
12/2/2025,2019,"2/5 Solid mechanics, weak plot.",GTA V (made by Rockstar Games),49.10,Europe
2/2/2025,2010,5/5 It's the game of the year!,GTA V (made by Rockstar Games),59.38,Japan
27/2/2025,2023,"2/5 Solid mechanics, weak plot.",League of Legends (made by Riot Games),30.35,USA
5/2/2025,2017,5/5 Masterpiece!,Halo Infinite (made by 343 Industries),29.55,Japan
28/2/2025,2010,Multiplayer could be better.,Dark Souls (made by FromSoftware),47.42,United Kingdom
8/2/2025,2015,5/5 A masterpiece!,Resident Evil (made by Capcom),55.09,Europe
12/2/2025,2011,4/5 Multiplayer could be better.,Apex Legends (made by Respawn Entertainment),15.21,USA
16/2/2025,2020,"3/5 Amazing game, but a bit short.",GTA V (made by Rockstar Games),37.85,USA
24/2/2025,2014,3/5 Graphics are decent,God of War (made by Santa Monica Studio),12.85,Japan
13/2/2025,2012,3/5 Graphics are decent,League of Legends (made by Riot Games),68.12,United Kingdom
23/2/2025,2019,3/5 Best game of the year!,GTA V (made by Rockstar Games),30.89,United Kingdom
12/2/2025,2011,"2/5 Solid mechanics, weak plot.",Elden Ring (made by FromSoftware),47.81,United Kingdom
14/2/2025,2016,"2/5 Solid mechanics, weak plot.",Elden Ring (made by FromSoftware),24.44,USA
25/2/2025,2013,Multiplayer could be better.,Overwatch (made by Blizzard Entertainment),37.90,USA
1/2/2025,2015,1/5 The story was incredible!,Fortnite (made by Epic Games),69.84,Japan
24/2/2025,2023,4/5 The story was incredible!,Fortnite (made by Epic Games),10.99,USA
5/2/2025,2010,"3/5 Amazing game, but a bit short.",League of Legends (made by Riot Games),28.39,United Kingdom
5/2/2025,2020,5/5 Best game of the year!,Dark Souls (made by FromSoftware),47.96,USA
20/2/2025,2011,3/5 Graphics are decent,Minecraft (made by Mojang Studios),54.56,Japan
20/2/2025,2011,"3/5 Amazing game, but a bit short.",Fortnite (made by Epic Games),47.59,United Kingdom
4/2/2025,2025,2/5 Graphics are next-level!,Red Dead Redemption (made by Rockstar Games),51.57,USA
13/2/2025,2018,Too many bugs at launch.,Dark Souls (made by FromSoftware),37.25,Europe
28/2/2025,2013,"3/5 Amazing game, but a bit short.",Minecraft (made by Mojang Studios),30.23,Japan
11/2/2025,2017,5/5 Masterpiece!,Doom Eternal (made by id Software),24.62,United Kingdom
26/2/2025,2014,5/5 Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),23.17,USA
27/2/2025,2017,5/5 Graphics are next-level!,Sekiro Shadows Die Twice (made by FromSoftware),59.03,USA
18/2/2025,2024,3/5 Graphics are decent,Overwatch (made by Blizzard Entertainment),47.35,USA
4/2/2025,2014,"2/5 Solid mechanics, weak plot.",Red Dead Redemption (made by Rockstar Games),37.63,United Kingdom
20/2/2025,2012,4/5 The story was incredible!,GTA V (made by Rockstar Games),43.28,Europe
5/2/2025,2023,Too many bugs at launch.,Zelda Breath of the Wild (made by Nintendo),45.24,USA
13/2/2025,2012,"1/5 Solid mechanics, weak plot.",Fortnite (made by Epic Games),48.70,United Kingdom
26/2/2025,2020,1/5 Graphics are next-level!,Super Mario Odyssey (made by Nintendo),21.46,United Kingdom
13/2/2025,2011,2/5 The story was incredible!,Halo Infinite (made by 343 Industries),65.21,Japan
2/2/2025,2023,5/5 It's the game of the year!,Horizon Zero Dawn (made by Guerrilla Games),36.25,United Kingdom
11/2/2025,2012,4/5 Multiplayer could be better.,Overwatch (made by Blizzard Entertainment),61.77,United Kingdom
6/2/2025,2025,"3/5 Solid mechanics, weak plot.",Cyberpunk (made by CD Projekt Red),60.18,USA
17/2/2025,2016,2/5 Too many bugs at launch.,Apex Legends (made by Respawn Entertainment),47.35,USA
8/2/2025,2013,"3/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),37.99,Europe
21/2/2025,2018,2/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),43.25,United Kingdom
11/2/2025,2018,"1/5 Solid mechanics, weak plot.",Sekiro Shadows Die Twice (made by FromSoftware),57.54,USA
20/2/2025,2014,4/5 The story was incredible!,Dark Souls (made by FromSoftware),13.63,United Kingdom
14/2/2025,2024,2/5 Best game of the year!,Apex Legends (made by Respawn Entertainment),18.44,USA
5/2/2025,2022,3/5 Multiplayer could be better.,Super Mario Odyssey (made by Nintendo),64.28,Europe
24/2/2025,2023,Too many bugs at launch.,Resident Evil (made by Capcom),59.45,Japan
4/2/2025,2021,5/5 It's the game of the year!,Doom Eternal (made by id Software),11.1,USA
19/2/2025,2020,1/5 Graphics are next-level!,Horizon Zero Dawn (made by Guerrilla Games),42.21,USA
25/2/2025,2014,5/5 Masterpiece!,Doom Eternal (made by id Software),54.49,Japan
9/2/2025,2017,5/5 It's the game of the year!,Valorant (made by Riot Games),15.93,USA
2/2/2025,2013,4/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),54.54,United Kingdom
27/2/2025,2019,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),65.59,Europe
7/2/2025,2021,5/5 Masterpiece!,Valorant (made by Riot Games),61.86,Japan
8/2/2025,2024,Multiplayer could be better.,Valorant (made by Riot Games),53.99,USA
13/2/2025,2019,Multiplayer could be better.,Resident Evil (made by Capcom),32.35,Europe
21/2/2025,2025,4/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),31.96,Japan
26/2/2025,2018,5/5 Masterpiece!,God of War (made by Santa Monica Studio),68.26,Japan
5/2/2025,2010,3/5 Graphics are decent,Dark Souls (made by FromSoftware),20,United Kingdom
20/2/2025,2010,Too many bugs at launch.,God of War (made by Santa Monica Studio),24.60,USA
24/2/2025,2025,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),20.76,Japan
22/2/2025,2021,2/5 Best game of the year!,Elden Ring (made by FromSoftware),64.26,Europe
7/2/2025,2018,"2/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),65.21,Japan
27/2/2025,2012,3/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),39.99,USA
1/2/2025,2014,"3/5 Overhyped, but still fun.",Cyberpunk (made by CD Projekt Red),63.93,Europe
2/2/2025,2023,Too many bugs at launch.,Elden Ring (made by FromSoftware),10.5,Japan
7/2/2025,2024,2/5 The story was incredible!,Red Dead Redemption (made by Rockstar Games),66.21,Japan
15/2/2025,2012,2/5 A masterpiece!,Super Mario Odyssey (made by Nintendo),25.43,USA
24/2/2025,2011,"2/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),12.43,Japan
15/2/2025,2020,4/5 The story was incredible!,Apex Legends (made by Respawn Entertainment),37.21,USA
14/2/2025,2017,5/5 Best game of the year!,GTA V (made by Rockstar Games),47.22,USA
17/2/2025,2014,3/5 Graphics are decent,Dark Souls (made by FromSoftware),28.55,United Kingdom
25/2/2025,2012,Multiplayer could be better.,Apex Legends (made by Respawn Entertainment),29.09,United Kingdom
9/2/2025,2022,5/5 It's the game of the year!,Fortnite (made by Epic Games),55.84,Japan
25/2/2025,2022,4/5 Graphics are next-level!,Minecraft (made by Mojang Studios),46.11,Japan
14/2/2025,2022,Multiplayer could be better.,Resident Evil (made by Capcom),21.12,USA
2/2/2025,2012,Too many bugs at launch.,Valorant (made by Riot Games),53.27,Europe
14/2/2025,2018,5/5 It's the game of the year!,Fortnite (made by Epic Games),50.60,United Kingdom
10/2/2025,2025,4/5 The story was incredible!,Resident Evil (made by Capcom),30.53,USA
6/2/2025,2025,3/5 Best game of the year!,Sekiro Shadows Die Twice (made by FromSoftware),50.38,USA
27/2/2025,2020,4/5 The story was incredible!,Zelda Breath of the Wild (made by Nintendo),46.34,United Kingdom
20/2/2025,2011,"1/5 Amazing game, but a bit short.",Super Mario Odyssey (made by Nintendo),69.73,Japan
20/2/2025,2018,2/5 Multiplayer could be better.,Horizon Zero Dawn (made by Guerrilla Games),56.13,United Kingdom
16/2/2025,2023,"2/5 Solid mechanics, weak plot.",Dark Souls (made by FromSoftware),45.10,Japan
27/2/2025,2024,"3/5 Overhyped, but still fun.",Doom Eternal (made by id Software),33.28,United Kingdom
3/2/2025,2013,"3/5 Overhyped, but still fun.",Horizon Zero Dawn (made by Guerrilla Games),61.57,United Kingdom
9/2/2025,2016,"3/5 Amazing game, but a bit short.",League of Legends (made by Riot Games),15.73,Europe
28/2/2025,2012,"2/5 Amazing game, but a bit short.",Valorant (made by Riot Games),21.80,Japan
